Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-02-20,16.4314,17.263,16.3918,16.8274,79327.353842639
2023-02-21,17.0056,17.0056,16.4116,16.5304,31269.456408871
2023-02-22,16.5304,16.57,16.1148,16.1346,27205.19487059
2023-02-23,16.3918,16.3918,15.8574,15.996,38003.825639342
2023-02-24,16.0356,16.5502,15.9366,15.9762,87125.523073063
2023-02-27,16.1346,16.1346,15.3822,15.5802,83231.994868107
2023-02-28,15.5802,16.0158,15.5802,15.996,47516.399997895
2023-03-01,16.1346,16.4116,15.6594,15.6594,85512.143585955
2023-03-02,15.8178,16.2336,15.6594,16.2336,34507.328203599
2023-03-03,16.3324,16.4512,16.0554,16.0752,54255.820510417
2023-03-06,16.2138,16.5106,16.1148,16.1346,28374.061537204
2023-03-07,16.1346,16.2138,15.9366,15.9366,25562.517947585
2023-03-08,16.0752,16.0752,15.8376,15.8376,35988.36410097
2023-03-09,15.798,15.897,15.6594,15.7584,21938.728204156
2023-03-10,15.7584,15.798,15.1842,15.2436,51533.179484896
2023-03-13,15.2832,15.6198,14.8676,15.2238,36324.77948557
2023-03-14,15.0654,15.303,14.9468,15.006,94623.646149654
2023-03-15,15.1446,15.2634,14.5706,14.6498,35598.405126628
2023-03-16,14.5508,14.8478,14.1944,14.8082,48349.861536319
2023-03-17,14.9468,14.9468,14.5112,14.8082,21160.830768293
2023-03-20,14.6498,14.6498,14.0558,14.4518,36630.887177864
2023-03-21,14.5706,15.0456,14.2538,14.927,50729.015382368
2023-03-22,15.1446,15.1446,14.2736,14.531,21212.353845214
2023-03-23,14.3132,14.6102,14.2538,14.3528,35227.64102408
2023-03-24,14.4914,14.8478,14.0954,14.531,32071.599998579
2023-03-27,14.531,14.8478,14.4716,14.828,18784.707691475
2023-03-28,14.8478,15.2238,14.6894,14.828,55033.71794628
2023-03-29,14.8676,15.4218,14.7488,15.1446,39579.825639272
2023-03-30,15.3624,15.4218,14.9468,14.9468,39348.476921334
2023-03-31,14.9468,15.0456,14.7092,14.8478,34485.102562575
2023-04-03,14.7884,15.0654,14.5904,14.828,26405.071793702
2023-04-04,14.8082,14.9664,14.4518,14.5706,28421.543588484
2023-04-05,14.4518,14.6102,14.3924,14.4518,23414.712819475
2023-04-06,14.5112,14.828,14.5112,14.63,37058.225639384
2023-04-11,14.63,14.9664,14.6102,14.7092,22224.630768246
2023-04-12,14.7092,14.7884,14.4716,14.6498,26882.923075732
2023-04-13,14.6498,14.6498,13.561,13.7786,228496.76409244
2023-04-14,13.8182,14.036,13.7192,13.838,65942.466663745
2023-04-17,13.838,13.9568,13.6402,13.6994,39320.189741848
2023-04-18,13.462,14.0558,12.967,14.036,113949.851277
2023-04-19,14.0954,14.234,13.6598,13.6994,26584.89743472
2023-04-20,13.7588,13.8776,13.6994,13.838,18982.717947877
2023-04-21,13.838,14.1944,13.6796,14.0954,15033.62564036
2023-04-24,14.135,14.2934,13.7786,13.7786,29434.830767927
2023-04-25,13.7588,13.9172,13.7588,13.8578,18835.220511986
2023-04-26,13.739,14.3132,13.5808,13.7984,49858.174356765
2023-04-27,13.3234,14.531,13.2838,14.531,116446.19486664
2023-04-28,14.3528,14.4518,13.739,13.7588,67585.143586749
2023-05-02,13.8578,14.1548,13.7588,14.0756,18793.799999167
2023-05-04,14.1746,14.2538,13.7786,13.8578,32862.630767775
2023-05-05,13.8578,14.135,13.7984,14.135,27706.282050055
2023-05-08,14.135,14.6894,14.1152,14.3528,37968.466664984
2023-05-09,14.5112,14.5508,14.1548,14.234,24042.082050217
2023-05-10,14.3528,14.531,14.2736,14.2736,44613.933331357
2023-05-11,14.1152,14.5112,13.937,14.0558,30150.092306357
2023-05-12,14.0558,14.2538,13.9172,14.2538,22323.635896447
2023-05-15,14.2934,14.333,14.0558,14.0558,30735.030767869
2023-05-16,14.0558,14.1944,13.838,13.8578,98460.599995638
2023-05-17,13.9766,15.0456,13.7984,14.8082,103066.35896979
2023-05-18,14.8478,15.3228,14.333,14.828,112597.11794373
2023-05-19,14.9862,14.9862,14.4518,14.6102,40087.984613609
2023-05-22,14.8478,14.8478,14.5508,14.8478,8941.7794867833
2023-05-23,14.8478,15.1842,14.63,15.1644,40717.37435717
2023-05-24,15.1446,15.2436,14.9664,15.2436,28292.230767977
2023-05-25,15.0456,15.4416,14.6894,14.7884,46249.538459489
2023-05-26,14.9072,15.0852,14.7092,14.927,11964.466666137
2023-05-29,14.8676,15.2238,14.8676,15.1446,14001.143589123
2023-05-30,15.2238,16.3324,15.1446,15.8376,99452.671790466
2023-05-31,15.9366,16.2336,15.4812,15.8376,48277.123074784
2023-06-01,15.6,16.1742,15.4416,15.8376,18096.723076121
2023-06-02,15.9366,16.2336,15.699,15.8376,52661.635895103
2023-06-05,15.9366,16.2336,15.7782,15.9366,38430.153844451
2023-06-06,15.9366,15.9762,15.4614,15.5604,48038.702561974
2023-06-07,15.5406,15.6792,15.3426,15.6,19603.015383747
2023-06-09,15.501,15.8376,15.501,15.5802,32084.733331912
2023-06-12,15.6396,15.798,15.5802,15.7386,5612.9846151359
2023-06-13,15.7386,15.8376,15.5604,15.798,11439.133332827
2023-06-14,15.9366,16.4314,15.9366,16.372,57354.276920536
2023-06-15,16.4116,16.6096,15.9762,16.0356,19483.805127342
2023-06-16,16.2138,16.2138,15.9366,15.9366,19516.133332469
2023-06-19,15.9564,16.2138,15.8376,15.996,11861.420512295
2023-06-20,15.8574,15.9762,15.5406,15.6396,25739.312819372
